num_client;numero_commande;date;montant_des_produits;remise_sur_produits;montant_livraison;remise_sur_livraison;montant_total_paye
ID_100338;278637;11/01/2021;16;;6.8;;22.8
ID_100338;292562;05/03/2021;174.5;;29.99;;204.49
ID_100414;308262;05/06/2021;38;;3.99;;41.99
ID_100414;386335;07/07/2022;150;;17.4;-17.4;150
ID_100414;395020;14/09/2022;30;;8.99;;38.99
ID_100415;305098;18/05/2021;149;;6.8;;155.8
ID_100497;284325;29/01/2021;25;;3.49;;28.49
ID_100497;343715;27/11/2021;199;;22;;221
ID_100580;387981;11/07/2022;35;;25.98;;60.98
ID_100580;391326;05/12/2022;8;;4.2;;12.2
ID_100580;403267;14/11/2022;102;-20;5.99;;87.99
ID_100580;406646;04/12/2022;19;;4.6;;23.6
ID_101053;407347;06/12/2022;21;;5.5;;26.5
ID_101520;301641;22/04/2021;26.5;;6.8;;33.3
ID_101520;301645;22/04/2021;14;;6.8;;20.8
ID_101800;320635;05/12/2021;12;;4.7;;16.7
ID_102018;303524;07/05/2021;37.5;;8;;45.5
ID_102018;397091;29/09/2022;29.5;;6.5;;36
ID_102459;341366;20/11/2021;205;;4.49;;209.49
ID_102459;380965;12/06/2022;69;;7.2;;76.2
ID_102464;332402;14/10/2021;33;;8;;41
ID_102464;342077;23/11/2021;85;;19.49;;104.49
ID_102464;378058;24/05/2022;74;;10;;84
ID_102464;407931;11/12/2022;60;;8.5;;68.5
ID_102538;299497;11/04/2021;440;;45.49;;485.49
ID_102544;379407;03/06/2022;67.5;;7.2;-7.2;67.5
ID_102544;390560;25/07/2022;105;;10;;115
ID_102605;351581;13/01/2022;13;;3.99;;16.99
ID_102619;387808;10/07/2022;25;;10;;35
ID_102667;277423;08/01/2021;19;;4.7;;23.7
ID_102667;307637;02/06/2021;80;;9.6;;89.6
ID_102667;325060;05/09/2021;62;;13.6;;75.6
ID_102667;400341;25/10/2022;47;;10;;57
ID_102776;284330;29/01/2021;12.5;;3.49;;15.99
ID_102776;332082;11/10/2021;150;;12.99;;162.99
ID_102776;332675;15/10/2021;139;;8;;147
ID_102776;377515;17/05/2022;17;;4.2;;21.2
ID_102776;397418;03/10/2022;42.5;;5.2;;47.7
ID_102825;299541;11/04/2021;270;-25;29.99;;274.99
ID_102825;317305;19/07/2021;224.5;-22.45;45.49;;247.54
ID_102891;305688;22/05/2021;;;;;
ID_102891;312013;27/06/2021;72.5;;6.8;;79.3
ID_102891;312960;30/06/2021;69;;19.49;;88.49
ID_102891;315384;11/07/2021;29;;6.8;;35.8
ID_102891;324181;28/12/2021;66;;6.8;;72.8
ID_102907;315373;11/07/2021;42.8;-4.28;11.2;;49.72
ID_102907;359499;03/02/2022;60;;10.49;;70.49
ID_103086;339360;14/11/2021;135;-20;12.99;-3.39;124.6
ID_103086;379070;31/05/2022;103;-15;15;;103
ID_103086;385904;04/07/2022;103;-15;10;;98
ID_103086;394253;06/09/2022;108;-20;12;;100
ID_103230;283889;27/01/2021;44;-8.8;4.49;;39.69
ID_103230;344295;30/11/2021;63.85;;4.49;;68.34
ID_103298;355458;23/01/2022;29;;4.49;;33.49
ID_103298;376394;09/05/2022;90;;8.49;;98.49
ID_103393;331957;10/10/2021;43;;6.8;;49.8
ID_103421;296450;28/03/2021;10.5;;6.8;;17.3
ID_103446;299390;11/04/2021;8.45;;3.49;;11.94
ID_103446;304769;16/05/2021;129;-15;12.99;;126.99
ID_103641;342425;24/11/2021;29.5;;6.8;;36.3
ID_103666;281958;21/01/2021;6.95;;3.99;;10.94
ID_103843;371218;07/04/2022;48;;12.25;;60.25
ID_103884;300408;13/04/2021;13.2;;3.49;;16.69
ID_103884;330683;01/10/2021;18;;3.99;;21.99
ID_103884;331985;10/10/2021;43;;3.99;;46.99
ID_103884;361998;15/02/2022;45;;4.99;;49.99
ID_103884;389685;19/07/2022;24;;6.5;;30.5
ID_103930;292590;05/03/2021;125;;29.99;;154.99
ID_103965;287082;10/02/2021;40;;6.8;;46.8
ID_103965;301798;24/04/2021;15;;;;15
ID_103965;307540;01/06/2021;47.5;;8;;55.5
ID_103965;330569;01/10/2021;41;;8;;49
ID_104100;390557;25/07/2022;35;;12.25;;47.25
ID_104163;298381;05/04/2021;59.5;;4.99;-4.99;59.5
ID_104163;300304;13/04/2021;305;-25;29.99;;309.99
ID_104163;317817;22/07/2021;250;-25;29.99;-29.99;225
ID_104163;318219;24/07/2021;625;-62.5;84.99;;647.49
ID_104308;332048;11/10/2021;9.5;;4.7;;14.2
ID_104308;385916;04/07/2022;42.5;;8.49;;50.99
ID_104308;385917;04/07/2022;103.5;;9.49;;112.99
ID_104321;344350;30/11/2021;55;;3.99;;58.99
ID_104339;286947;09/02/2021;305;;9.6;;314.6
ID_104339;301740;23/04/2021;75;;;;75
ID_104339;313439;02/07/2021;89;;19.49;;108.49
ID_104339;313444;02/07/2021;98;;14.4;;112.4
ID_104339;314612;08/07/2021;40;;4.49;;44.49
ID_104339;371841;09/04/2022;190;;25;;215
ID_104435;329296;26/09/2021;9.5;;4.49;;13.99
ID_104465;369609;02/04/2022;75;;22.5;;97.5
ID_104487;396940;27/09/2022;9;;4.2;;13.2
